Elliptic curve parameters:
name = secp256k1
mode = test
p = 10007
a = 48
b = 22
g = (4, 1668)
n = 9967

----------------------------------------------------------------------------------------------------------------------------------------------------------------------
case  s           s_zk        s_rxk       s_zr        z           r           x           k           q           a           m1                  m2                  
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
A     5376        988         4388        7570        5329        6080        9488        2729        2194        988         1                   6473/2194           
A     1386        362         1024        2410        6881        9443        3324        6679        1024        362         1                   949/256             
A     5147        1404        3743        8890        9945        502         2030        8091        3743        1404        1                   14037/3743          
A     6729        13          6716        8408        4952        2739        9081        316         1679        13          1                   15137/6716          
A     3221        253         2968        4705        9840        1768        945         8003        1484        253         1                   3963/1484           
A     4487        559         3928        8415        7794        8000        6840        4825        3928        559         1                   6451/1964           
A     4670        1872        2798        7468        9481        3389        8094        9594        2798        1872        1                   6069/1399           
A     2192        611         1581        3773        3159        2967        9010        2010        1581        611         1                   5965/1581           
A     1388        358         1030        1903        3350        6073        7912        7218        515         358         1                   3291/1030           
A     6666        1316        5350        9341        20          8939        7912        6046        2675        1316        1                   16007/5350          
A     1308        48          1260        1560        5250        5354        8281        7985        252         48          1                   239/105             
A     5104        64          5040        6112        6045        4278        6774        7507        1008        64          1                   701/315             
A     6400        1916        4484        8642        1461        156         2336        2505        2242        1916        1                   7521/2242           
A     2266        35          2231        4497        5755        1653        3521        1602        2231        35          1                   6763/2231           
A     4030        946         3084        5572        9849        6879        5451        7425        1542        946         1                   4801/1542           
A     5813        1862        3951        9764        839         8660        6387        6833        3951        1862        1                   15577/3951          
A     4790        358         4432        9222        7623        6842        3856        1301        4432        358         1                   3503/1108           
A     4253        1520        2733        6986        9481        8394        5524        7790        2733        1520        1                   11239/2733          
A     4480        385         4095        4935        9395        9697        687         191         455         385         1                   269/117             
A     977         283         694         1324        582         8976        2421        5532        347         283         1                   2301/694            
A     1916        37          1879        3795        9722        2222        9922        6753        1879        37          1                   5711/1879           
A     5126        1100        4026        6468        4958        5023        6808        9533        1342        1100        1                   527/183             
A     5295        955         4340        6380        2743        9199        6807        1541        1085        955         1                   2335/868            
A     3003        63          2940        3591        3738        9576        4856        168         588         63          1                   157/70              
A     7489        937         6552        8581        6816        9765        9829        9255        1092        937         1                   8035/3276           
A     2056        166         1890        2686        1730        3297        6772        1740        630         166         1                   2371/945            
A     7067        212         6855        9352        5512        3054        8498        8817        2285        212         1                   5473/2285           
A     6558        994         5564        7949        1619        8833        4517        3522        1391        994         1                   14507/5564          
A     4091        1938        2153        6244        685         9365        743         4819        2153        1938        1                   10335/2153          
A     7256        833         6423        9397        7717        9037        9734        3982        2141        833         1                   5551/2141           
A     7697        659         7038        8870        1752        7230        3394        245         1173        659         1                   16567/7038          
A     5923        305         5618        8732        9065        1913        5458        1182        2809        305         1                   14655/5618          
A     3360        24          3336        3916        5920        829         6439        7152        556         24          1                   1819/834            
A     6688        696         5992        7544        2488        3304        2556        7788        856         696         1                   1779/749            
A     5389        89          5300        6449        9244        1218        5766        2757        1060        89          1                   5919/2650           
A     7924        658         7266        9135        582         7157        5766        4762        1211        658         1                   2437/1038           
A     6518        1061        5457        8337        8887        4339        1032        765         1819        1061        1                   14855/5457          
A     2249        129         2120        2461        2640        3916        1032        3749        212         129         1                   471/212             
A     2026        280         1746        2608        5203        5983        7392        7766        582         280         1                   2317/873            
A     4745        637         4108        8853        6366        1077        2347        3634        4108        637         1                   523/158             
A     6603        201         6402        7185        5228        8590        5259        490         582         201         1                   2298/1067           
A     3181        61          3120        3421        8437        8486        8232        4775        240         61          1                   3301/1560           
A     8689        109         8580        8821        723         8063        8641        1103        132         109         1                   1751/858            
A     1946        560         1386        3332        4230        5948        7893        8789        1386        560         1                   377/99              
A     4855        1986        2869        7724        5046        602         6762        8723        2869        1986        1                   12579/2869          
A     2841        53          2788        2923        3606        877         1674        3303        82          53          1                   1441/697            
A     2637        1010        1627        4264        4371        8406        2478        7199        1627        1010        1                   6901/1627           
A     7347        367         6980        9092        2427        8903        2978        6267        1745        367         1                   16439/6980          
A     2728        550         2178        3454        4182        9229        3167        9786        726         550         1                   281/99              
A     5374        1278        4096        7422        3773        562         7142        6446        2048        1278        1                   3199/1024           
A     3276        615         2661        4163        481         6826        3411        22          887         615         1                   7439/2661           
A     5070        828         4242        6484        8465        8317        5934        3251        1414        828         1                   5777/2121           
A     5290        408         4882        7731        5714        1873        6909        942         2441        408         1                   13021/4882          
A     6277        589         5688        6909        509         4439        2415        804         632         589         1                   6593/2844           
A     4336        644         3692        6182        2938        857         306         2972        1846        644         1                   5259/1846           
A     3216        286         2930        4681        1800        4748        2711        9646        1465        286         1                   7897/2930           
A     4827        281         4546        7100        8489        6496        2711        5833        2273        281         1                   11927/4546          
A     8174        90          8084        8346        7084        6583        1387        5445        172         90          1                   4130/2021           
A     4927        757         4170        9097        7268        425         4748        2437        4170        757         1                   7012/2085           
A     8817        193         8624        9601        9841        2376        8226        5773        784         193         1                   9209/4312           
A     6131        23          6108        9185        304         63          1364        9672        3054        23          1                   3829/1527           
A     4390        1691        2699        7089        93          5542        9458        3019        2699        1691        1                   11479/2699          
A     1926        601         1325        3251        237         6364        6000        8792        1325        601         1                   5177/1325           
A     6375        27          6348        9549        7027        2936        1729        478         3174        27          1                   1327/529            
A     3828        192         3636        4232        1720        8486        6220        4775        404         192         1                   2015/909            
A     6942        639         6303        9043        8820        3607        6220        8411        2101        639         1                   15985/6303          
A     5515        1785        3730        9245        4675        5737        7108        2175        3730        1785        1                   1476/373            
A     8835        215         8620        9697        9104        4031        5464        7680        862         215         1                   4633/2155           
A     6723        3           6720        6738        7683        896         4257        6009        15          3           1                   641/320             
A     8683        343         8340        9239        7379        370         4257        9601        556         343         1                   2987/1390           
A     7602        38          7564        7663        363         735         6177        1675        61          38          1                   15265/7564          
A     3186        340         2846        4609        7182        3638        8576        8088        1423        340         1                   7795/2846           
A     8840        381         8459        9609        1821        3864        855         1790        769         381         1                   18449/8459          
A     6623        1867        4756        9001        4387        6184        1117        966         2378        1867        1                   3906/1189           
A     6309        955         5354        8986        8284        8262        5952        8782        2677        955         1                   15295/5354          
A     7907        3           7904        8211        6623        8668        9895        4140        304         3           1                   8059/3952           
A     2716        211         2505        5221        6067        3482        9158        4940        2505        211         1                   7937/2505           
A     5757        120         5637        7636        6118        4048        7147        6308        1879        120         1                   13393/5637          
A     6589        1285        5304        8357        7068        781         5002        1141        1768        1285        1                   2491/884            
A     2374        460         1914        4288        7316        818         8484        2970        1914        460         1                   3331/957            
A     5006        1939        3067        8073        2636        9142        2846        8754        3067        1939        1                   13079/3067          
A     4362        102         4260        8622        5796        9628        334         4220        4260        102         1                   1082/355            
A     6758        206         6552        7262        8937        7115        7644        5980        504         206         1                   3505/1638           
A     6948        453         6495        9113        3300        187         6512        426         2165        453         1                   16061/6495          
A     3125        214         2911        6036        6086        1131        6262        7124        2911        214         1                   9161/2911           
A     3964        1888        2076        6040        3777        5216        5194        3307        2076        1888        1                   2501/519            
A     5124        158         4966        5315        2512        4077        5194        500         191         158         1                   803/382             
A     1292        587         705         1997        2799        8903        7253        3700        705         587         1                   3289/705            
A     2655        876         1779        4434        4400        223         476         2202        1779        876         1                   2363/593            
A     5352        916         4436        7570        4092        3748        7156        5807        2218        916         1                   6461/2218           
A     2940        928         2012        3946        8780        2818        7156        3719        1006        928         1                   3443/1006           
A     1279        76          1203        1680        9452        8609        6308        6251        401         76          1                   2959/1203           
A     4798        594         4204        6900        3135        9540        8805        2728        2102        594         1                   5849/2102           
A     4413        1335        3078        7491        573         3979        9901        7882        3078        1335        1                   1984/513            
A     3807        42          3765        5062        1778        6797        9901        4081        1255        42          1                   8869/3765           
A     3722        218         3504        4160        7384        8283        9261        2346        438         218         1                   3941/1752           
A     4592        729         3863        8455        9749        6042        1083        5986        3863        729         1                   13047/3863          
A     8476        370         8106        9055        2214        1026        121         7059        579         370         1                   17531/8106          
A     4709        567         4142        8851        6797        8433        5664        8335        4142        567         1                   6780/2071           
A     5264        820         4444        6375        4092        3604        3555        9899        1111        820         1                   11639/4444          
A     5531        155         5376        6427        3788        2304        8888        7670        896         155         1                   1993/896            
A     7066        4           7062        9420        7423        8976        6242        4435        2354        4           1                   8243/3531           
A     3871        178         3693        7564        5632        6705        3288        6148        3693        178         1                   11435/3693          
A     7430        242         7188        8029        1932        8635        9541        7171        599         242         1                   5153/2396           
A     3901        714         3187        7088        4088        7043        9872        3789        3187        714         1                   10989/3187          
A     5263        395         4868        6480        7839        7416        6108        6543        1217        395         1                   11743/4868          
A     8722        252         8470        9569        9078        931         888         863         847         252         1                   2613/1210           
A     2941        36          2905        3024        4845        4296        8160        1475        83          36          1                   1193/581            
A     8257        197         8060        8567        4840        5601        7750        6979        310         197         1                   4206/2015           
A     4951        1253        3698        8649        9100        59          7657        5850        3698        1253        1                   6800/1849           
A     2275        601         1674        3949        7597        6336        7649        5101        1674        601         1                   3112/837            
A     3835        195         3640        4199        100         341         2032        1497        364         195         1                   309/140             
A     4272        939         3333        5383        4048        3052        6513        5976        1111        939         1                   9655/3333           
A     5256        1359        3897        9153        8522        5022        4710        9566        3897        1359        1                   1601/433            
A     8668        588         8080        9476        198         8102        4365        305         808         588         1                   1134/505            
A     2566        52          2514        2985        6941        5997        5996        415         419         52          1                   5551/2514           
A     4799        365         4434        9233        6769        9587        2323        6897        4434        365         1                   7016/2217           
A     1664        88          1576        3240        6568        7758        6024        4419        1576        88          1                   613/197             
A     6343        1075        5268        8099        4218        2613        7112        8618        1756        1075        1                   2407/878            
A     4015        505         3510        5185        6236        5296        6477        9291        1170        505         1                   920/351             
A     4919        731         4188        9107        424         92          2799        5902        4188        731         1                   7013/2094           
