Elliptic curve parameters:
name = secp256k1
mode = test
p = 10007
a = 48
b = 22
g = (4, 1668)
n = 9967

----------------------------------------------------------------------------------------------------------------------------------------------------------------------
case  s           s_zk        s_rxk       s_zr        z           r           x           k           q           a           m1                  m2                  
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
A     4947        1112        3835        8782        433         2161        2040        6770        3835        1112        1                   13729/3835          
A     3675        111         3564        3807        7959        2743        1465        402         132         111         1                   1247/594            
A     5329        172         5157        7048        1764        117         8850        2554        1719        172         1                   12377/5157          
A     3684        596         3088        6772        5279        9855        2539        1250        3088        596         1                   1307/386            
A     8242        657         7585        9759        7276        5441        1619        7300        1517        657         1                   18001/7585          
A     4490        105         4385        5367        6626        4518        9682        3732        877         105         1                   9857/4385           
A     7240        136         7104        7536        5491        987         9682        8239        296         136         1                   1847/888            
A     8747        22          8725        8772        9132        8357        9873        6577        25          22          1                   17519/8725          
A     2836        171         2665        3041        7074        8202        208         8737        205         171         1                   5877/2665           
A     6413        2001        4412        8619        227         6668        1526        9888        2206        2001        1                   3758/1103           
A     3051        405         2646        3492        4760        5202        1526        2607        441         405         1                   727/294             
A     2548        849         1699        4247        7534        7749        1526        5825        1699        849         1                   6795/1699           
A     6952        432         6520        8582        7664        3359        235         5098        1630        432         1                   7767/3260           
A     3131        191         2940        4111        8900        5003        9767        2606        980         191         1                   1207/490            
A     7282        2376        4906        9735        5448        6308        710         4479        2453        2376        1                   1547/446            
A     3366        1656        1710        5076        6736        6967        2878        4747        1710        1656        1                   469/95              
A     8887        471         8416        9939        7653        1654        6732        5638        1052        471         1                   9413/4208           
A     6056        294         5762        8937        5709        2547        2732        9569        2881        294         1                   14993/5762          
A     4147        721         3426        5860        6794        2442        4597        5767        1713        721         1                   10007/3426          
A     4607        266         4341        6054        479         4632        2028        8511        1447        266         1                   10661/4341          
A     4389        1529        2860        7249        3687        3819        6181        1471        2860        1529        1                   529/130             
A     8907        195         8712        9270        1369        7462        366         3189        363         195         1                   6059/2904           
A     5008        216         4792        6206        5619        5899        366         761         1198        216         1                   5607/2396           
A     6125        2700        3425        9550        6148        6068        1092        7821        3425        2700        1                   627/137             
A     6177        97          6080        6497        6061        7605        8734        2789        320         97          1                   6337/3040           
A     3717        1356        2361        6078        359         6458        725         4668        2361        1356        1                   3265/787            
A     4498        863         3635        8133        6003        619         899         475         3635        863         1                   12631/3635          
A     9062        62          9000        9162        9506        4088        3033        5232        100         62          1                   2278/1125           
A     6779        1299        5480        9519        580         5567        3033        3147        2740        1299        1                   8149/2740           
A     5283        1079        4204        7385        7499        3983        1352        1829        2102        1079        1                   3167/1051           
A     2099        593         1506        3605        2102        5962        1352        5714        1506        593         1                   2852/753            
A     1246        54          1192        2438        4802        673         8615        2059        1192        54          1                   921/298             
A     6910        448         6462        7628        1923        911         600         3618        718         448         1                   2423/1077           
A     4781        969         3812        8593        5348        9389        4403        8329        3812        969         1                   6687/1906           
A     8694        54          8640        9774        8295        5538        2043        9502        1080        54          1                   171/80              
A     8832        43          8789        9349        6460        4681        9395        1529        517         43          1                   18181/8789          
A     896         46          850         981         1268        889         6918        8505        85          46          1                   1877/850            
A     4550        797         3753        5801        1345        8467        6856        4847        1251        797         1                   10351/3753          
A     3644        845         2799        4577        5519        4550        5718        5241        933         845         1                   8221/2799           
A     7518        537         6981        9845        5671        413         6067        8721        2327        537         1                   97/39               
A     7169        617         6552        8261        2576        7699        4599        6721        1092        617         1                   7715/3276           
A     3369        1623        1746        5115        7706        1210        5207        1670        1746        1623        1                   1414/291            
A     3224        95          3129        3373        4058        3771        7876        3333        149         95          1                   2199/1043           
A     4925        1601        3324        8249        7583        5511        3137        1333        3324        1601        1                   6587/1662           
A     6784        484         6300        8359        5468        2311        1779        73          1575        484         1                   15143/6300          
A     7504        1633        5871        9461        1359        7033        1779        1314        1957        1633        1                   5655/1957           
A     2011        77          1934        2978        2469        5455        6180        1530        967         77          1                   4989/1934           
A     6164        2628        3536        9700        7856        6969        3915        3639        3536        2628        1                   1983/442            
A     3574        1401        2173        5747        4567        7273        2476        559         2173        1401        1                   9321/2173           
A     792         40          752         1544        327         9545        5720        9388        752         40          1                   146/47              
A     5481        2273        3208        8689        7774        3382        5720        458         3208        2273        1                   7085/1604           
A     7233        807         6426        9375        695         1591        9812        9667        2142        807         1                   2768/1071           
A     9603        11          9592        9821        1070        6688        831         3046        218         11          1                   2428/1199           
A     2435        367         2068        3469        3392        2625        3354        9400        1034        367         1                   1476/517            
A     1253        95          1158        2411        8895        193         5283        3877        1158        95          1                   1832/579            
A     8736        186         8550        9078        4014        7809        8085        1326        342         186         1                   2969/1425           
A     3801        609         3192        4865        5625        497         959         5268        1064        609         1                   619/228             
A     5458        1768        3690        7303        1863        3995        959         9770        1845        1768        1                   12761/3690          
A     3841        1034        2807        6648        7589        3870        9015        4434        2807        1034        1                   10489/2807          
A     2464        36          2428        4892        6369        4791        5932        3507        2428        36          1                   1839/607            
A     6405        2934        3471        9876        2654        9475        2477        6115        3471        2934        1                   5427/1157           
A     2261        28          2233        2338        8378        4521        3652        9484        77          28          1                   657/319             
A     1564        159         1405        2969        1814        3128        4517        6566        1405        159         1                   4533/1405           
A     4753        1287        3466        8219        7307        4557        5824        1577        3466        1287        1                   6486/1733           
A     5296        1266        4030        9326        4027        4794        196         3453        4030        1266        1                   7311/2015           
A     1993        816         1177        3170        901         2581        9258        6959        1177        816         1                   5163/1177           
A     8003        478         7525        9078        41          1680        9258        5846        1075        478         1                   17081/7525          
A     905         140         765         1058        4306        2264        4559        9268        153         140         1                   1963/765            
A     3640        24          3616        4092        6233        8690        4559        694         452         24          1                   1933/904            
A     5448        986         4462        7679        4070        4956        8529        6960        2231        986         1                   13127/4462          
A     2274        748         1526        3800        6107        2168        3738        8841        1526        748         1                   3037/763            
A     8697        117         8580        8829        4060        2980        8350        7436        132         117         1                   2921/1430           
A     3628        1513        2115        5743        900         4115        8991        5107        2115        1513        1                   9371/2115           
A     7772        260         7512        8398        7023        7425        9307        8870        626         260         1                   2695/1252           
A     7587        1012        6575        8902        3461        6629        2069        6045        1315        1012        1                   16489/6575          
A     7494        230         7264        7948        4613        5453        157         376         454         230         1                   7721/3632           
A     7773        553         7220        8495        5464        6085        6417        8568        722         553         1                   4067/1805           
A     3022        996         2026        5048        2250        6452        3633        2047        2026        996         1                   4035/1013           
A     3870        6           3864        3898        6591        7480        7587        1919        28          6           1                   971/483             
A     4048        1316        2732        6780        2962        5292        5203        9530        2732        1316        1                   2707/683            
A     3849        788         3061        6910        6456        6655        2786        5490        3061        788         1                   10759/3061          
A     6057        1038        5019        7730        9550        7630        4276        8387        1673        1038        1                   13787/5019          
A     4491        262         4229        8720        8828        8708        4276        6379        4229        262         1                   13211/4229          
A     3272        844         2428        4486        9238        3699        3897        6206        1214        844         1                   3879/1214           
A     5582        202         5380        5851        8372        4733        9563        4974        269         202         1                   11433/5380          
A     4929        2433        2496        7425        2824        6952        9563        6442        2496        2433        1                   2059/416            
A     4087        64          4023        4236        6007        2687        901         1490        149         64          1                   8323/4023           
A     4265        145         4120        4780        4227        3854        901         9229        515         145         1                   1809/824            
A     5761        2672        3089        8850        6357        8943        2716        1700        3089        2672        1                   14611/3089          
A     5221        1856        3365        8586        3953        9654        4266        2658        3365        1856        1                   13807/3365          
A     2249        768         1481        3730        192         2615        5219        4           1481        768         1                   5979/1481           
A     5966        539         5427        7775        6843        7326        453         3755        1809        539         1                   13741/5427          
A     5699        1925        3774        9473        2771        25          3047        6137        3774        1925        1                   7586/1887           
A     1439        179         1260        1691        1148        7633        3047        5930        252         179         1                   313/126             
A     909         273         636         1227        9937        6936        3351        2981        318         273         1                   178/53              
