Elliptic curve parameters:
name = secp256k1
mode = test
p = 10007
a = 48
b = 22
g = (4, 1668)
n = 9967

----------------------------------------------------------------------------------------------------------------------------------------------------------------------
case  s           s_zk        s_rxk       s_zr        z           r           x           k           q           a           m1                  m2                  
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
A     1312        77          1235        1559        8964        6239        5732        5525        247         77          1                   2871/1235           
A     4371        1273        3098        5920        7184        5284        4236        3298        1549        1273        1                   10291/3098          
A     4657        1250        3407        8064        8306        8516        4625        7500        3407        1250        1                   12721/3407          
A     5261        581         4680        6821        5           5351        666         4103        1560        581         1                   6041/2340           
A     6841        49          6792        7973        8369        3282        1311        1079        1132        49          1                   2469/1132           
A     2415        791         1624        3227        7151        8228        1145        3033        812         791         1                   403/116             
A     6960        984         5976        8952        946         8375        8397        1455        1992        984         1                   221/83              
A     5811        1861        3950        9761        7816        6705        6715        6148        3950        1861        1                   7786/1975           
A     7584        1204        6380        8860        9572        4141        3166        5094        1276        1204        1                   4111/1595           
A     7735        85          7650        7888        8127        8576        4927        3873        153         85          1                   919/450             
A     8885        675         8210        9706        6227        7454        2436        4437        821         675         1                   18591/8210          
A     6149        2773        3376        9525        950         8141        4269        9246        3376        2773        1                   7837/1688           
A     7541        437         7104        8429        6908        3552        9953        8543        888         437         1                   7985/3552           
A     6075        15          6060        6105        6088        9210        2057        6953        30          15          1                   203/101             
A     2582        456         2126        4708        9143        9042        9960        5999        2126        456         1                   3645/1063           
A     5845        529         5316        6731        4166        4387        2222        5754        886         529         1                   1048/443            
A     4923        955         3968        8891        9606        2405        7650        3062        3968        955         1                   6907/1984           
A     3512        436         3076        5050        3526        2749        4076        7457        1538        436         1                   4281/1538           
A     3685        1510        2175        5860        1229        7774        6545        3602        2175        1510        1                   1909/435            
A     3462        819         2643        6105        2020        5850        1106        4752        2643        819         1                   3189/881            
A     5008        1503        3505        8513        5524        3879        4491        5498        3505        1503        1                   13521/3505          
A     2904        198         2706        3355        3118        1577        2020        812         451         198         1                   569/246             
A     8361        41          8320        8426        6336        9380        545         6684        65          41          1                   16787/8320          
A     6987        1503        5484        9729        2173        931         1321        863         2742        1503        1                   1393/457            
A     5407        459         4948        7881        359         7990        4107        4138        2474        459         1                   3322/1237           
A     4987        1316        3671        8658        7861        7748        889         8840        3671        1316        1                   13645/3671          
A     6536        621         5915        7719        800         4283        105         7937        1183        621         1                   2851/1183           
A     3529        1508        2021        5550        1044        4416        6100        8861        2021        1508        1                   9079/2021           
A     6273        975         5298        8922        3654        3603        1829        9419        2649        975         1                   5065/1766           
A     4745        286         4459        9204        8474        114         1914        1355        4459        286         1                   1073/343            
A     7854        746         7108        9631        8411        8558        8928        9595        1777        746         1                   17485/7108          
A     4828        208         4620        5136        3164        9389        4395        8329        308         208         1                   2491/1155           
A     2923        859         2064        3955        4411        733         4501        3080        1032        859         1                   3439/1032           
A     6459        1381        5078        8998        7298        7428        9776        6262        2539        1381        1                   15457/5078          
A     3378        1448        1930        5308        7744        984         7491        7877        1930        1448        1                   4343/965            
A     4717        373         4344        9061        6069        1202        7366        8108        4344        373         1                   6889/2172           
A     4586        1153        3433        8019        2343        8707        5079        9           3433        1153        1                   12605/3433          
A     7030        486         6544        8666        1474        4631        7673        9210        1636        486         1                   981/409             
A     8059        359         7700        9599        7482        6221        5525        7067        1540        359         1                   8829/3850           
A     5995        95          5900        6290        7376        263         4245        5447        295         95          1                   2457/1180           
A     4111        271         3840        5071        8574        6486        5546        5223        960         271         1                   4591/1920           
A     5320        421         4899        6953        3051        1358        4538        8190        1633        421         1                   4091/1633           
A     2383        184         2199        3116        2815        2168        9884        1126        733         184         1                   1833/733            
A     2890        347         2543        5433        7997        1510        4290        7341        2543        347         1                   8323/2543           
A     4629        2180        2449        7078        594         8603        3792        2185        2449        2180        1                   11707/2449          
A     6894        114         6780        7346        9583        2836        3792        4516        452         114         1                   712/339             
A     2788        52          2736        2845        731         5226        1164        600         57          52          1                   5633/2736           
A     4766        146         4620        9386        2921        4927        7565        546         4620        146         1                   3538/1155           
A     3409        269         3140        6549        8529        141         1131        6827        3140        269         1                   4979/1570           
A     5611        263         5348        5993        4033        5782        856         4493        382         263         1                   2901/1337           
A     2709        1187        1522        4231        2700        1504        63          1621        1522        1187        1                   3470/761            
A     7296        501         6795        9561        5034        6209        2796        2477        2265        501         1                   1873/755            
A     4983        1372        3611        8594        3131        6866        8337        2910        3611        1372        1                   13577/3611          
A     1051        139         912         1963        9368        4506        1795        5757        912         139         1                   1507/456            
A     6333        816         5517        8172        2858        5778        5561        6724        1839        816         1                   4835/1839           
A     7798        1318        6480        9418        6374        5096        6531        2671        1620        1318        1                   1076/405            
A     4406        392         4014        5744        7496        1958        9819        3021        1338        392         1                   5075/2007           
A     5620        1897        3723        9343        4677        5140        5909        5522        3723        1897        1                   14963/3723          
A     3571        639         2932        6503        5062        9415        585         6547        2932        639         1                   5037/1466           
A     6791        188         6603        8992        500         8470        7470        718         2201        188         1                   5261/2201           
A     7021        226         6795        8380        3298        7165        4563        3131        1359        226         1                   15401/6795          
A     6400        1165        5235        8145        6270        5414        3917        9689        1745        1165        1                   2909/1047           
A     1987        395         1592        2385        8483        3914        7982        4681        398         395         1                   1093/398            
A     474         42          432         618         5365        2157        487         2469        144         42          1                   91/36               
A     6185        165         6020        6400        1859        427         4516        2713        215         165         1                   2517/1204           
A     3728        1622        2106        5834        3995        7032        9035        684         2106        1622        1                   4781/1053           
A     1151        107         1044        1499        1719        2094        6367        9538        348         107         1                   1325/522            
A     1039        64          975         1104        1383        7849        6367        3344        65          64          1                   2143/975            
A     5565        183         5382        8256        2783        5615        9046        8248        2691        183         1                   4607/1794           
A     6798        22          6776        6826        1           6826        1101        22          28          22          1                   1703/847            
A     4562        18          4544        6834        958         1755        4389        8344        2272        18          1                   2849/1136           
A     4364        572         3792        6260        2413        7198        6082        7555        1896        572         1                   664/237             
A     1365        78          1287        1508        4036        8377        8872        8510        143         78          1                   221/99              
A     5260        824         4436        9696        9952        1347        8458        1274        4436        824         1                   3739/1109           
A     8194        134         8060        8814        5714        2468        1454        3534        620         134         1                   4252/2015           
A     5907        51          5856        6003        4482        942         87          4730        96          51          1                   1985/976            
A     4194        986         3208        7402        1673        64          4342        8085        3208        986         1                   2899/802            
A     4278        904         3374        5965        4282        2620        5640        7323        1687        904         1                   10243/3374          
A     3109        253         2856        3585        5564        3277        2751        2739        476         253         1                   3347/1428           
A     4107        948         3159        7266        9836        5803        268         8362        3159        948         1                   3791/1053           
A     4965        1413        3552        6741        5168        3683        5795        5842        1776        1413        1                   1951/592            
A     5351        1253        4098        7400        9912        5302        8359        9763        2049        1253        1                   12751/4098          
A     4824        861         3963        6145        1323        2212        2913        8702        1321        861         1                   10969/3963          
A     3102        1362        1740        4842        6977        8552        9438        3653        1740        1362        1                   662/145             
A     6153        2605        3548        9701        7300        5049        3628        8445        3548        2605        1                   7927/1774           
A     5909        2575        3334        9243        9129        6257        8648        7716        3334        2575        1                   7576/1667           
A     6066        2440        3626        9692        8090        9468        1036        1528        3626        2440        1                   7879/1813           
A     3134        230         2904        3860        9121        19          3639        3487        726         230         1                   3497/1452           
A     5147        2124        3023        8170        4273        5719        9708        7467        3023        2124        1                   13317/3023          
A     5356        40          5316        5799        6151        5601        1022        2988        443         40          1                   11155/5316          
A     4736        4           4732        5100        2708        1003        4615        9702        364         4           1                   2459/1183           
A     7538        333         7205        8193        802         7007        45          9781        655         333         1                   15731/7205          
A     6000        48          5952        6062        4713        5523        9055        5361        62          48          1                   6031/2976           
A     5793        1551        4242        7914        7266        1927        9926        457         2121        1551        1                   4569/1414           
A     5156        408         4748        7530        3179        1570        1307        2825        2374        408         1                   6343/2374           
A     7929        921         7008        9681        3662        185         3612        9197        1752        921         1                   2935/1168           
A     5542        1153        4389        7005        9919        477         3612        6413        1463        1153        1                   12547/4389          
A     5248        863         4385        9633        9681        6762        6300        3238        4385        863         1                   14881/4385          
A     8282        603         7679        9379        3925        5622        7045        7151        1097        603         1                   2523/1097           
