Elliptic curve parameters:
name = secp256k1
mode = test
p = 10007
a = 48
b = 22
g = (4, 1668)
n = 9967

----------------------------------------------------------------------------------------------------------------------------------------------------------------------
case  s           s_zk        s_rxk       s_zr        z           r           x           k           q           a           m1                  m2                  
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
A     2819        77          2742        4190        6061        8884        3173        4269        1371        77          1                   7009/2742           
A     4952        1497        3455        8407        3627        5251        4369        8129        3455        1497        1                   13359/3455          
A     2298        138         2160        3378        9011        1185        8402        4191        1080        138         1                   473/180             
A     4326        884         3442        7768        6891        8461        5363        9539        3442        884         1                   6047/1721           
A     796         144         652         1122        2143        4991        7680        6237        326         144         1                   959/326             
A     6604        118         6486        6742        8194        4589        2975        9045        138         118         1                   6673/3243           
A     3417        221         3196        6613        126         448         2975        8624        3196        221         1                   295/94              
A     3181        1235        1946        5127        2987        5741        2779        7318        1946        1235        1                   4154/973            
A     2557        488         2069        4626        4751        5896        2653        9279        2069        488         1                   7183/2069           
A     4397        1808        2589        6986        9942        2910        9071        9496        2589        1808        1                   11383/2589          
A     5205        748         4457        9662        9344        4880        8997        7966        4457        748         1                   14867/4457          
A     4763        349         4414        6970        3421        6199        6922        778         2207        349         1                   11733/4414          
A     8727        285         8442        9933        3093        6809        8300        3606        1206        285         1                   3110/1407           
A     4646        1274        3372        6332        1276        6910        4345        704         1686        1274        1                   5489/1686           
A     4404        669         3735        5151        6545        415         535         1360        747         669         1                   637/249             
A     2469        665         1804        3371        1460        5648        4012        1673        902         665         1                   1460/451            
A     7530        88          7442        7652        9514        8872        2348        1936        122         88          1                   7591/3721           
A     4657        1943        2714        7371        6303        6192        4116        111         2714        1943        1                   6014/1357           
A     7237        107         7130        7352        491         5780        576         3918        115         107         1                   14589/7130          
A     7611        164         7447        8288        4671        420         5785        143         677         164         1                   15899/7447          
A     2189        44          2145        2354        9659        3552        7833        8543        165         44          1                   413/195             
A     5415        1985        3430        8845        4859        8535        7833        9871        3430        1985        1                   1426/343            
A     5639        251         5388        6986        2566        329         4842        641         1347        251         1                   12625/5388          
A     4802        126         4676        4969        5095        3352        8240        6616        167         126         1                   9771/4676           
A     6687        1969        4718        9046        9065        7084        426         6683        2359        1969        1                   15733/4718          
A     5692        1721        3971        9663        3528        2147        426         2173        3971        1721        1                   15355/3971          
A     6563        179         6384        7475        8434        9468        8143        8439        912         179         1                   7019/3192           
A     3826        315         3511        7337        5941        5254        3427        9603        3511        315         1                   11163/3511          
A     6366        600         5766        7327        2935        9219        8291        170         961         600         1                   13693/5766          
A     2076        395         1681        3757        8733        5772        5424        1607        1681        395         1                   5833/1681           
A     1977        753         1224        3201        3559        8310        7510        2151        1224        753         1                   863/204             
A     8498        350         8148        9177        1405        1099        7510        5569        679         350         1                   2525/1164           
A     3094        82          3012        4098        4838        6548        7510        2534        1004        82          1                   1798/753            
A     5588        823         4765        6541        237         2635        2908        5008        953         823         1                   12129/4765          
A     7980        33          7947        8863        4820        1927        1918        457         883         33          1                   16843/7947          
A     4634        309         4325        8959        6854        2725        5255        2398        4325        309         1                   13593/4325          
A     5400        2492        2908        8308        6015        2530        3860        2592        2908        2492        1                   3427/727            
A     4691        56          4635        4794        2017        541         3860        5915        103         56          1                   1897/927            
A     1371        387         984         2355        3335        5694        2795        1342        984         387         1                   621/164             
A     4115        172         3943        8058        4302        1809        8704        380         3943        172         1                   12173/3943          
A     6392        1457        4935        8037        6541        7582        8704        5338        1645        1457        1                   307/105             
A     6295        2720        3575        9870        6012        2379        6658        7169        3575        2720        1                   3233/715            
A     6386        458         5928        7868        9343        4907        5564        3673        1482        458         1                   7127/2964           
A     4663        974         3689        8352        2764        1431        6190        7234        3689        974         1                   13015/3689          
A     1357        661         696         2053        3831        3838        2331        9387        696         661         1                   1705/348            
A     8030        1325        6705        9371        3407        9803        5468        7589        1341        1325        1                   17401/6705          
A     6407        287         6120        7427        5282        7521        3099        1587        1020        287         1                   6917/3060           
A     8402        114         8288        8920        3614        8232        6811        9956        518         114         1                   8661/4144           
A     9698        38          9660        9758        6634        954         7614        4357        60          38          1                   4864/2415           
A     6527        815         5712        8431        3237        18          4758        2599        1904        815         1                   2493/952            
A     5534        1564        3970        7519        8013        2164        4370        7477        1985        1564        1                   13053/3970          
A     4455        306         4149        4916        3230        1458        6996        1364        461         306         1                   9371/4149           
A     3421        94          3327        4530        2705        4847        7385        2314        1109        94          1                   7951/3327           
A     5708        373         5335        6775        6522        9343        6251        8691        1067        373         1                   12483/5335          
A     1612        64          1548        2128        3546        2401        1073        5318        516         64          1                   935/387             
A     7342        1834        5508        9178        9882        6224        9787        4317        1836        1834        1                   4130/1377           
A     5312        2203        3109        8421        1218        8771        2865        4167        3109        2203        1                   13733/3109          
A     1994        928         1066        3060        8110        4056        4523        9360        1066        928         1                   2527/533            
A     4355        211         4144        5391        6068        5919        8288        570         1036        211         1                   4873/2072           
A     5376        636         4740        6561        7276        3131        7058        422         1185        636         1                   3979/1580           
A     5699        959         4740        6884        3912        6677        3066        2892        1185        959         1                   12583/4740          
A     5722        10          5712        6198        4471        1816        3066        2042        476         10          1                   745/357             
A     5498        2238        3260        8758        1381        3716        334         6526        3260        2238        1                   3564/815            
A     3031        243         2788        3728        7196        4466        8351        6852        697         243         1                   6759/2788           
A     6597        1158        5439        8410        3117        3098        7335        9929        1813        1158        1                   15007/5439          
A     4225        1032        3193        7418        1991        5215        1700        9537        3193        1032        1                   11643/3193          
A     5016        859         4157        9173        1361        4679        1700        3135        4157        859         1                   14189/4157          
A     5001        255         4746        5340        5015        2068        4431        7602        339         255         1                   3447/1582           
A     6977        935         6042        7984        8178        3784        8970        6685        1007        935         1                   4987/2014           
A     5223        237         4986        6054        1272        804         4965        7687        831         237         1                   1253/554            
A     5807        182         5625        6932        6327        1411        8750        1495        1125        182         1                   12739/5625          
A     4981        671         4310        5843        999         9474        3656        8092        862         671         1                   5412/2155           
A     2134        106         2028        2810        7209        317         9164        3715        676         106         1                   412/169             
A     5636        616         5020        8146        6414        2298        6690        2129        2510        616         1                   6891/2510           
A     6994        214         6780        7333        6822        8266        2731        8357        339         214         1                   14327/6780          
A     7963        1211        6752        9651        4552        6630        8782        9098        1688        1211        1                   8807/3376           
A     6335        53          6282        6684        7155        9596        4511        3470        349         53          1                   13019/6282          
A     4179        471         3708        5415        1660        1054        9293        2444        1236        471         1                   533/206             
A     3996        38          3958        7954        3803        4219        6311        9110        3958        38          1                   5975/1979           
A     4217        167         4050        6242        2996        5957        6473        5772        2025        167         1                   10459/4050          
A     6491        286         6205        7732        7706        3651        6766        282         1241        286         1                   14223/6205          
A     6876        189         6687        7619        9860        8778        8898        6705        743         189         1                   14495/6687          
