Elliptic curve parameters:
name = secp256k1
mode = test
p = 10007
a = 48
b = 22
g = (4, 1668)
n = 9967

----------------------------------------------------------------------------------------------------------------------------------------------------------------------
case  s           s_zk        s_rxk       s_zr        z           r           x           k           q           a           m1                  m2                  
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
A     360         154         206         566         6856        3870        5796        4434        206         154         1                   463/103             
A     2099        343         1756        3855        1967        5064        2873        4895        1756        343         1                   2977/878            
A     3401        999         2402        4602        5815        1396        5351        2902        1201        999         1                   8003/2402           
A     6359        1419        4940        8829        9395        3940        7829        4406        2470        1419        1                   3797/1235           
A     6170        218         5952        6666        7207        2446        2593        5684        496         218         1                   3209/1488           
A     3848        1427        2421        6269        5464        6796        2135        283         2421        1427        1                   10117/2421          
A     4667        1317        3350        6342        64          6017        5966        3291        1675        1317        1                   11009/3350          
A     1857        11          1846        3703        4340        3425        3964        2726        1846        11          1                   2780/923            
A     3320        1374        1946        5266        9843        4298        3964        6580        1946        1374        1                   4293/973            
A     7047        453         6594        9245        9773        1134        823         8372        2198        453         1                   8146/3297           
A     4682        1034        3648        6506        431         2397        823         8050        1824        1034        1                   2797/912            
A     2368        88          2280        2488        7948        8001        75          5603        120         88          1                   607/285             
A     5835        115         5720        6095        1614        3604        9832        68          260         115         1                   1193/572            
A     8968        388         8580        9748        2193        8358        1771        2259        780         388         1                   4679/2145           
A     7334        413         6921        8103        3210        5843        4039        6710        769         413         1                   15437/6921          
A     4328        802         3526        6091        5999        7004        9108        4496        1763        802         1                   10419/3526          
A     8059        901         7158        9252        6594        2178        9108        4769        1193        901         1                   17311/7158          
A     3566        193         3373        6939        2765        5132        9684        3320        3373        193         1                   10505/3373          
A     3765        770         2995        6760        7269        1719        6811        5312        2995        770         1                   2105/599            
A     4053        3           4050        4728        1736        9786        7041        5483        675         3           1                   2927/1350           
A     3173        135         3038        6211        8807        4918        8300        9838        3038        135         1                   4692/1519           
A     1336        145         1191        1733        5090        531         3170        2575        397         145         1                   1023/397            
A     8020        136         7884        8677        1012        1870        9350        7761        657         136         1                   16697/7884          
A     4545        579         3966        5206        4613        8164        5776        4760        661         579         1                   9751/3966           
A     4248        878         3370        5933        5922        7536        5776        3410        1685        878         1                   10181/3370          
A     7871        1327        6544        9507        2475        7168        417         2896        1636        1327        1                   8689/3272           
A     4823        519         4304        5899        3352        8598        5359        4945        1076        519         1                   5361/2152           
A     6517        195         6322        6735        281         1159        3991        1987        218         195         1                   6626/3161           
A     3804        902         2902        6706        521         9559        9545        1800        2902        902         1                   5255/1451           
A     5178        142         5036        6437        243         1298        4098        3528        1259        142         1                   11615/5036          
A     6513        273         6240        7293        7017        6346        3582        5301        780         273         1                   177/80              
